"animal","Sire","Dam"
1,NA,NA
2,NA,NA
3,NA,NA
4,NA,NA
5,NA,NA
6,NA,NA
7,NA,NA
8,NA,NA
9,NA,NA
10,NA,NA
11,NA,NA
12,NA,NA
13,NA,NA
14,NA,NA
15,NA,NA
16,NA,NA
17,NA,NA
18,NA,NA
19,NA,NA
20,NA,NA
21,NA,NA
22,NA,NA
23,NA,NA
24,NA,NA
25,NA,NA
26,NA,NA
27,NA,NA
28,NA,NA
29,NA,NA
30,NA,NA
31,NA,NA
32,NA,NA
33,NA,NA
34,NA,NA
35,NA,NA
36,NA,NA
37,NA,NA
38,NA,NA
39,NA,NA
40,NA,NA
41,NA,NA
42,NA,NA
43,NA,NA
44,NA,NA
45,NA,NA
46,NA,NA
47,NA,NA
48,NA,NA
49,NA,NA
50,NA,NA
51,NA,NA
52,NA,NA
53,NA,NA
54,NA,NA
55,NA,NA
56,NA,NA
57,NA,NA
58,NA,NA
59,NA,NA
60,NA,NA
61,NA,NA
62,NA,NA
63,NA,NA
64,NA,NA
65,NA,NA
66,NA,NA
67,NA,NA
68,NA,NA
69,NA,NA
70,NA,NA
71,NA,NA
72,NA,NA
73,NA,NA
74,NA,NA
75,NA,NA
76,NA,NA
77,NA,NA
78,NA,NA
79,NA,NA
80,NA,NA
81,NA,NA
82,NA,NA
83,1,NA
84,2,NA
85,3,NA
86,4,NA
87,5,NA
88,6,52
89,NA,52
90,7,52
91,6,NA
92,NA,53
93,8,53
94,NA,53
95,NA,54
96,8,54
97,6,54
98,4,54
99,9,55
100,10,NA
101,10,56
102,NA,56
103,11,56
104,3,56
105,3,56
106,12,NA
107,NA,57
108,8,58
109,13,58
110,11,58
111,14,58
112,14,58
113,15,NA
114,12,NA
115,16,NA
116,17,NA
117,NA,59
118,18,60
119,8,NA
120,8,NA
121,13,61
122,13,61
123,8,NA
124,19,62
125,20,NA
126,21,NA
127,22,NA
128,4,NA
129,6,NA
130,23,NA
131,6,NA
132,24,NA
133,4,63
134,14,63
135,14,57
136,6,54
137,10,NA
138,4,64
139,23,64
140,13,64
141,25,65
142,NA,65
143,14,65
144,26,65
145,27,65
146,26,65
147,28,NA
148,18,60
149,4,NA
150,8,63
151,29,NA
152,6,NA
153,1,NA
154,22,66
155,4,66
156,20,66
157,8,66
158,NA,66
159,6,67
160,6,67
161,4,67
162,5,67
163,5,67
164,30,67
165,20,68
166,3,68
167,3,68
168,14,68
169,NA,69
170,14,70
171,31,NA
172,25,69
173,14,69
174,NA,132
175,7,160
176,91,160
177,140,160
178,2,160
179,2,160
180,127,170
181,2,86
182,11,117
183,14,117
184,13,129
185,11,129
186,152,54
187,15,88
188,114,88
189,27,88
190,109,88
191,127,105
192,28,105
193,141,102
194,11,106
195,123,106
196,26,107
197,98,NA
198,26,104
199,26,165
200,14,165
201,158,165
202,112,NA
203,NA,113
204,141,NA
205,7,96
206,171,168
207,32,125
208,101,NA
209,3,121
210,91,121
211,173,90
212,14,166
213,148,113
214,33,97
215,11,97
216,161,97
217,14,87
218,135,NA
219,89,NA
220,34,108
221,14,108
222,89,62
223,91,NA
224,4,131
225,9,131
226,14,110
227,5,159
228,89,159
229,3,95
230,14,143
231,35,143
232,91,157
233,2,157
234,20,136
235,150,136
236,11,137
237,25,137
238,14,137
239,141,137
240,36,137
241,148,NA
242,127,111
243,101,111
244,85,111
245,91,99
246,2,99
247,14,122
248,4,92
249,4,92
250,8,92
251,37,92
252,25,92
253,152,155
254,101,172
255,36,172
256,89,103
257,127,103
258,5,154
259,21,154
260,91,154
261,114,154
262,109,68
263,38,139
264,14,139
265,14,139
266,171,139
267,101,NA
268,89,162
269,8,169
270,NA,133
271,123,133
272,23,120
273,13,120
274,11,120
275,14,120
276,173,216
277,256,216
278,265,216
279,152,258
280,197,254
281,187,167
282,241,167
283,241,167
284,217,167
285,273,NA
286,241,NA
287,273,186
288,127,247
289,89,194
290,241,194
291,241,194
292,246,71
293,14,184
294,241,NA
295,238,165
296,275,NA
297,221,72
298,221,NA
299,178,NA
300,178,NA
301,261,73
302,269,NA
303,39,196
304,208,196
305,238,233
306,218,240
307,37,224
308,34,224
309,273,224
310,238,224
311,39,235
312,253,90
313,265,90
314,261,166
315,127,189
316,253,189
317,NA,264
318,40,264
319,127,271
320,241,271
321,41,271
322,261,183
323,40,195
324,241,195
325,2,227
326,127,234
327,158,234
328,42,223
329,NA,274
330,NA,274
331,89,225
332,2,225
333,14,272
334,26,272
335,236,NA
336,135,272
337,238,228
338,259,110
339,141,237
340,43,237
341,135,237
342,182,237
343,213,237
344,238,179
345,171,242
346,17,242
347,35,242
348,208,242
349,218,242
350,241,143
351,238,177
352,256,177
353,24,202
354,134,204
355,85,204
356,35,204
357,20,248
358,238,157
359,175,137
360,26,226
361,245,226
362,182,111
363,267,111
364,238,NA
365,222,99
366,17,219
367,261,74
368,229,NA
369,135,255
370,267,255
371,11,249
372,11,249
373,14,249
374,127,209
375,241,262
376,2,260
377,238,260
378,115,191
379,44,191
380,32,268
381,241,199
382,362,370
383,265,311
384,368,311
385,294,311
386,359,167
387,127,287
388,239,287
389,207,287
390,41,355
391,317,NA
392,317,NA
393,26,293
394,127,293
395,45,323
396,303,NA
397,310,289
398,345,313
399,239,346
400,322,277
401,376,277
402,367,277
403,367,277
404,285,NA
405,303,NA
406,345,312
407,376,312
408,362,306
409,376,211
410,367,211
411,116,300
412,360,354
413,325,314
414,317,314
415,218,378
416,46,378
417,182,302
418,294,352
419,322,352
420,364,352
421,376,180
422,2,331
423,32,331
424,334,331
425,238,331
426,334,331
427,200,330
428,24,318
429,367,316
430,299,NA
431,380,375
432,256,305
433,243,332
434,286,NA
435,353,NA
436,344,271
437,282,192
438,182,338
439,135,340
440,350,132
441,147,321
442,239,342
443,218,327
444,265,326
445,24,296
446,280,NA
447,299,351
448,127,372
449,218,347
450,310,284
451,377,284
452,46,381
453,298,NA
454,46,356
455,266,356
456,282,356
457,46,356
458,334,155
459,47,304
460,297,304
461,44,304
462,322,257
463,325,365
464,127,333
465,127,333
466,48,341
467,127,371
468,320,NA
469,239,288
470,246,288
471,417,424
472,367,444
473,469,397
474,201,425
475,439,425
476,49,404
477,276,389
478,366,383
479,427,379
480,380,395
481,46,395
482,147,450
483,325,464
484,409,NA
485,408,NA
486,391,435
487,442,278
488,426,NA
489,47,386
490,324,386
491,317,386
492,469,315
493,317,412
494,417,458
495,408,NA
496,41,448
497,310,448
498,297,390
499,301,415
500,238,422
501,1,431
502,414,406
503,392,433
504,317,399
505,286,449
506,NA,393
507,317,437
508,414,452
509,468,452
510,282,394
511,434,455
512,453,455
513,364,423
514,405,431
515,421,284
516,391,356
517,181,465
518,408,436
519,430,348
520,441,416
521,413,432
522,349,407
523,174,472
524,430,498
525,502,481
526,454,515
527,384,496
528,470,477
529,419,477
530,421,479
531,462,504
532,396,492
533,447,474
534,83,485
535,344,489
536,497,406
537,50,473
538,440,473
539,487,410
540,396,522
541,466,505
542,207,500
543,384,491
544,476,451
545,476,451
546,51,501
547,514,520
548,480,511
549,480,511
550,476,510
551,151,510
552,46,517
553,44,483
554,524,548
555,174,532
556,453,552
557,446,530
558,527,406
559,478,551
560,487,543
561,429,543
562,541,535
563,560,435
564,556,484
