"Year","std_Weight","ARS","rel_ARS","Age","Centered_Age","Year2","animal","StagCode"
"1974",1.16092095995043,5,3.70304114490161,10,1.08574879227053,1974,21,21
"1974",0.780391255970494,2,1.48121645796064,7,-1.91425120772947,1974,37,37
"1974",0.357580473770569,2,1.48121645796064,6,-2.91425120772947,1974,3,3
"1974",2.17566683723024,0,0,9,0.0857487922705307,1974,75,75
"1975",0.568985864870531,0,0,9,0.0857487922705307,1975,152,152
"1975",1.11863988173043,0,0,11,2.08574879227053,1975,5,5
"1975",1.05521826440044,0,0,11,2.08574879227053,1975,5,5
"1975",-0.784008638169226,7,5.18425760286225,5,-3.91425120772947,1975,14,14
"1975",0.674688560420513,1,0.740608228980322,7,-1.91425120772947,1975,91,91
"1975",-0.445760012409287,1,0.740608228980322,5,-3.91425120772947,1975,148,148
"1975",-0.31891677774931,1,0.740608228980322,5,-3.91425120772947,1975,148,148
"1975",0.273018317330584,1,0.740608228980322,5,-3.91425120772947,1975,76,76
"1975",-0.445760012409287,0,0,5,-3.91425120772947,1975,130,130
"1976",0.315299395550577,0,0,12,3.08574879227053,1976,7,7
"1976",0.80153179508049,1,0.740608228980322,9,0.0857487922705307,1976,37,37
"1976",1.07635880351044,3,2.22182468694097,8,-0.914251207729469,1976,91,91
"1976",1.05521826440044,3,2.22182468694097,8,-0.914251207729469,1976,91,91
"1976",1.09749934262044,0,0,6,-2.91425120772947,1976,76,76
"1976",0.674688560420513,0,0,6,-2.91425120772947,1976,76,76
"1976",-1.07997618570917,0,0,5,-3.91425120772947,1976,118,118
"1976",-0.213214082199328,0,0,7,-1.91425120772947,1976,138,138
"1976",-1.37594373324912,0,0,5,-3.91425120772947,1976,141,141
"1976",0.1884561608906,0,0,8,-0.914251207729469,1976,30,30
"1977",0.146175082670607,0,0,7,-1.91425120772947,1977,130,130
"1977",-0.382338395079298,5,3.70304114490161,7,-1.91425120772947,1977,14,14
"1977",0.315299395550577,0,0,11,2.08574879227053,1977,152,152
"1977",0.273018317330584,0,0,11,2.08574879227053,1977,152,152
"1977",0.716969638640505,1,0.740608228980322,9,0.0857487922705307,1977,91,91
"1977",0.590126403980528,1,0.740608228980322,9,0.0857487922705307,1977,91,91
"1977",-0.910851872829204,0,0,6,-2.91425120772947,1977,118,118
"1977",-0.974273490159192,0,0,6,-2.91425120772947,1977,118,118
"1977",0.738110177750501,0,0,7,-1.91425120772947,1977,76,76
"1977",0.590126403980528,0,0,7,-1.91425120772947,1977,76,76
"1977",-0.0863708475393512,0,0,7,-1.91425120772947,1977,148,148
"1977",-0.0229492302093626,0,0,7,-1.91425120772947,1977,148,148
"1977",-0.488041090629279,0,0,5,-3.91425120772947,1977,101,101
"1977",-0.0229492302093626,0,0,13,4.08574879227053,1977,7,7
"1979",0.590126403980528,0,0,7,-1.91425120772947,1979,273,273
"1979",0.653548021310516,0,0,8,-0.914251207729469,1979,89,89
"1979",-0.678305942619245,0,0,5,-3.91425120772947,1979,263,263
"1979",0.611266943090524,1,0.740608228980322,7,-1.91425120772947,1979,128,128
"1979",1.22434257728041,2,1.48121645796064,7,-1.91425120772947,1979,109,109
"1979",0.273018317330584,3,2.22182468694097,7,-1.91425120772947,1979,101,101
"1979",-0.382338395079298,0,0,6,-2.91425120772947,1979,156,156
"1979",-1.18567888125915,1,0.740608228980322,7,-1.91425120772947,1979,93,93
"1979",-1.14339780303916,0,0,5,-3.91425120772947,1979,220,220
"1981",-1.28842184975082,0,0,6,-2.91425120772947,1981,253,253
"1981",-0.409398388305924,1,0.740608228980322,9,0.0857487922705307,1981,98,98
"1981",-0.252112725744637,1,0.740608228980322,9,0.0857487922705307,1981,98,98
"1981",-0.14979246486934,0,0,9,0.0857487922705307,1981,140,140
"1981",-0.318071104601995,0,0,9,0.0857487922705307,1981,140,140
"1981",-0.137108141403342,2,1.48121645796064,8,-0.914251207729469,1981,156,156
"1981",-0.175161111801335,2,1.48121645796064,8,-0.914251207729469,1981,156,156
"1981",0.420579383484189,1,0.740608228980322,9,0.0857487922705307,1981,161,161
"1981",1.42433228443826,5,3.70304114490161,9,0.0857487922705307,1981,109,109
"1981",1.00828637074208,0,0,9,0.0857487922705307,1981,128,128
"1981",0.809988010724488,0,0,9,0.0857487922705307,1981,128,128
"1981",-1.21189320133847,0,0,7,-1.91425120772947,1981,220,220
"1981",0.0996658966286155,2,1.48121645796064,9,0.0857487922705307,1981,27,27
"1981",-0.0432440961720437,2,1.48121645796064,9,0.0857487922705307,1981,27,27
"1981",0.056539145261308,0,0,8,-0.914251207729469,1981,119,119
"1981",-0.15359786507497,0,0,10,1.08574879227053,1981,43,43
"1981",0.285702640796582,0,0,9,0.0857487922705307,1981,250,250
"1981",-1.09857983433451,2,1.48121645796064,6,-2.91425120772947,1981,251,251
"1981",-1.08251307619383,2,1.48121645796064,6,-2.91425120772947,1981,251,251
"1981",-1.45670061844076,0,0,6,-2.91425120772947,1981,307,307
"1981",-0.337097589800991,1,0.740608228980322,7,-1.91425120772947,1981,259,259
"1981",-0.994991192695531,0,0,9,0.0857487922705307,1981,93,93
"1981",-1.88416228034629,0,0,6,-2.91425120772947,1981,205,205
"1981",-1.93701362812129,0,0,6,-2.91425120772947,1981,205,205
"1982",-0.627568648755254,5,3.70304114490161,7,-1.91425120772947,1982,253,253
"1982",-0.335829209037307,0,0,10,1.08574879227053,1982,98,98
"1982",-0.344285424681305,0,0,10,1.08574879227053,1982,98,98
"1982",-0.940448627583198,6,4.44364937388193,8,-0.914251207729469,1982,134,134
"1982",0.0447004949426253,5,3.70304114490161,10,1.08574879227053,1982,17,17
"1982",-0.784008638169226,0,0,7,-1.91425120772947,1982,251,251
"1982",-0.619112433111256,0,0,7,-1.91425120772947,1982,251,251
"1982",-1.63808641821307,0,0,6,-2.91425120772947,1982,182,182
"1982",0.302615072084579,2,1.48121645796064,10,1.08574879227053,1982,27,27
"1982",0.514020463184541,2,1.48121645796064,10,1.08574879227053,1982,27,27
"1982",-1.63385831039107,0,0,6,-2.91425120772947,1982,261,261
"1982",-0.170933003979336,5,3.70304114490161,8,-0.914251207729469,1982,220,220
"1982",0.158859406136605,2,1.48121645796064,8,-0.914251207729469,1982,185,185
"1982",0.953743676672463,1,0.740608228980322,10,1.08574879227053,1982,128,128
"1982",-1.52392750701909,1,0.740608228980322,7,-1.91425120772947,1982,270,270
"1982",-1.73533289811906,0,0,6,-2.91425120772947,1982,188,188
"1982",-0.729043236483236,0,0,7,-1.91425120772947,1982,307,307
"1982",-1.25332860641114,0,0,7,-1.91425120772947,1982,142,142
"1982",-1.64654263385707,0,0,7,-1.91425120772947,1982,126,126
"1983",-0.249152998686322,6,4.44364937388193,8,-0.914251207729469,1983,253,253
"1983",-0.161208407571653,6,4.44364937388193,8,-0.914251207729469,1983,253,253
"1983",-0.478739201837966,3,2.22182468694097,8,-0.914251207729469,1983,251,251
"1983",-1.93828207357502,1,0.740608228980322,7,-1.91425120772947,1983,275,275
"1983",-2.01227396046001,1,0.740608228980322,7,-1.91425120772947,1983,275,275
"1983",-1.12225726392917,1,0.740608228980322,6,-2.91425120772947,1983,158,158
"1983",-1.5112431835531,1,0.740608228980322,6,-2.91425120772947,1983,158,158
"1983",-1.42118453852743,0,0,8,-0.914251207729469,1983,163,163
"1983",-0.576831354891263,0,0,8,-0.914251207729469,1983,163,163
"1983",0.0616129262306223,1,0.740608228980322,11,2.08574879227053,1983,17,17
"1983",-0.889711333719207,0,0,8,-0.914251207729469,1983,175,175
"1983",-0.657165403509249,1,0.740608228980322,7,-1.91425120772947,1983,261,261
"1983",-1.65077074167907,0,0,6,-2.91425120772947,1983,252,252
"1983",-1.68882371207706,0,0,6,-2.91425120772947,1983,252,252
"1983",-0.849544309410215,0,0,9,0.0857487922705307,1983,185,185
